MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainTomorrow
8.0,15.5,0.0,46,17,37,50,62,1020.3,1017.7,13.9,15.0,0
12.7,20.5,0.0,37,20,13,52,63,1015.8,1015.5,17.7,19.5,0
14.2,20.0,1.4,35,7,11,86,90,1015.7,1012.6,16.5,18.0,0
15.0,27.1,0.0,39,17,17,53,38,1017.8,1019.0,17.4,25.8,0
16.5,21.9,0.4,35,9,17,59,54,1020.9,1020.6,21.3,21.0,0
9.7,18.5,5.8,17,7,2,94,44,1016.7,1013.9,11.2,17.8,0
3.5,15.2,0.6,20,2,13,91,69,1032.3,1031.1,7.2,14.0,0
10.4,25.4,0.0,35,2,17,80,57,1026.6,1025.0,15.2,25.1,0
13.4,31.0,0.0,35,6,22,68,43,1014.5,1012.0,23.6,28.4,0
10.5,18.9,2.4,39,15,22,53,50,1021.6,1019.9,15.9,18.3,0
17.8,26.0,0.0,33,17,26,75,61,1019.5,1018.5,20.6,24.7,0
9.5,26.8,0.2,24,6,7,79,35,1018.5,1014.3,14.2,23.9,0
20.4,31.8,0.0,56,7,41,60,41,1012.6,1009.0,25.4,30.7,0
17.5,26.1,0.2,28,11,13,62,66,1015.4,1009.0,22.3,23.1,0
18.4,26.8,0.0,72,44,35,32,47,1008.1,1010.0,20.4,23.6,0
13.0,25.8,0.0,80,22,33,54,33,1004.7,999.8,15.5,24.6,0
21.3,32.9,10.0,33,4,15,74,41,1002.2,999.1,27.2,32.4,0
12.4,20.7,0.2,19,4,4,75,62,1030.0,1026.4,16.7,19.8,0
15.6,23.3,14.4,52,37,33,56,51,1017.2,1016.7,19.8,21.1,0
12.5,22.8,0.2,28,11,11,57,40,1026.4,1024.1,17.5,22.1,0
12.6,17.2,1.8,43,0,19,92,77,1005.7,1004.3,13.4,16.3,0
18.2,34.9,0.0,67,11,26,47,25,1013.5,1012.5,25.1,33.7,0
5.8,17.3,6.4,33,20,7,61,34,1028.9,1025.4,11.7,16.9,0
14.1,24.6,0.0,46,20,17,50,29,1016.9,1014.2,15.1,22.5,0
17.0,30.8,0.0,31,0,9,72,35,1016.4,1014.1,22.6,30.3,0
10.3,22.1,0.0,85,56,46,44,37,1022.9,1018.3,16.1,21.3,0
22.3,32.3,0.0,35,9,20,64,45,1016.0,1011.5,27.8,31.4,0
7.8,13.2,4.8,43,28,22,78,72,1012.0,1012.8,11.1,11.2,0
11.0,17.8,0.8,24,11,11,86,61,1018.8,1016.8,11.6,16.7,0
8.3,22.6,0.0,46,28,35,59,41,1015.8,1012.5,13.6,19.6,0
10.2,20.4,0.0,46,15,26,79,40,1012.6,1012.4,14.5,18.8,0
15.1,33.6,0.0,52,9,22,52,16,1019.4,1016.2,20.6,32.9,0
14.8,21.0,9.8,50,31,22,70,71,1006.3,1007.9,18.5,18.5,0
9.6,26.3,0.2,43,11,20,93,38,1034.1,1030.7,13.1,24.6,0
13.1,30.5,0.0,44,7,24,61,27,1007.5,1006.6,21.8,30.2,0
21.0,37.7,0.0,59,11,22,24,12,1010.0,1008.4,30.3,37.0,0
11.3,24.0,0.8,44,22,28,58,34,1021.0,1019.2,16.5,23.5,0
12.1,27.8,0.0,41,7,11,66,33,1024.8,1023.1,17.8,27.0,0
8.2,17.9,0.0,24,7,4,57,44,1023.8,1023.8,14.1,17.2,0
1.3,11.7,0.0,28,15,15,99,58,1027.9,1024.8,3.8,11.2,0
16.6,33.4,0.0,44,15,19,59,11,1012.5,1009.5,20.4,31.8,0
14.5,18.9,3.8,50,33,24,71,76,1021.3,1020.8,17.9,18.2,0
17.3,29.6,0.0,28,20,19,72,57,1015.4,1011.5,22.7,27.9,0
23.6,31.1,0.0,33,9,19,61,69,1013.4,1010.1,29.7,29.5,0
12.5,25.4,0.0,13,6,6,82,31,1021.7,1019.1,16.1,24.4,0
3.3,17.9,0.0,17,7,9,86,47,1025.8,1022.1,7.0,16.8,0
5.1,20.5,0.2,44,13,24,91,35,1026.5,1024.7,8.4,19.3,0
27.2,39.9,0.0,46,20,26,41,21,1016.2,1014.0,31.1,38.3,0
3.8,14.5,7.6,81,13,11,46,28,1010.2,1012.8,9.5,14.3,0
13.6,17.8,3.6,31,13,15,94,70,1020.6,1020.7,15.5,15.8,0
6.7,12.6,12.0,24,4,6,100,77,1018.8,1016.3,9.4,11.9,0
4.0,19.1,0.0,30,6,11,69,46,1024.8,1022.0,11.9,18.5,0
8.7,15.1,5.2,83,52,48,54,44,1013.1,1012.3,13.1,14.8,0
6.9,12.6,10.6,39,17,24,90,82,1013.7,1017.3,9.5,11.5,0
7.5,10.4,0.0,44,24,24,92,76,1028.7,1027.0,7.8,9.0,0
15.2,21.0,0.0,41,13,15,55,60,1017.5,1017.9,17.6,18.3,0
3.2,17.5,0.0,28,20,4,68,39,1030.1,1029.2,9.3,17.0,0
9.3,24.7,0.0,85,15,30,52,18,1015.3,1009.0,14.8,24.0,0
12.4,31.2,0.0,28,2,15,26,17,1014.2,1010.7,23.0,30.5,0
6.7,23.6,0.0,43,22,26,50,41,1023.4,1021.5,18.8,21.6,0
2.0,12.1,0.5,24,9,4,78,44,1018.4,1019.5,5.5,10.8,0
3.6,13.3,0.8,30,15,17,94,66,1024.0,1024.7,7.4,12.5,0
15.8,23.6,0.0,41,15,20,69,42,1013.0,1013.5,17.0,22.1,0
8.1,25.9,0.0,50,35,24,18,8,1022.0,1016.9,18.6,25.3,0
7.7,19.8,0.0,31,11,11,54,39,1017.4,1015.1,14.2,19.6,0
11.0,30.3,0.0,30,7,9,67,22,1009.0,1007.1,20.0,28.6,0
17.6,21.4,0.0,35,9,19,93,89,1012.6,1013.7,19.3,19.2,0
6.2,11.9,1.4,59,11,35,83,50,1011.2,1010.6,9.1,10.6,0
9.5,17.9,0.0,31,9,7,61,52,1016.1,1015.7,13.6,16.9,0
16.9,35.5,0.0,54,7,22,75,75,1010.4,1007.7,23.7,23.4,0
6.1,29.9,0.2,41,2,17,100,55,1013.2,1015.5,16.0,21.8,0
16.3,34.4,0.0,59,31,19,44,16,1015.0,1010.5,22.9,32.7,0
13.5,27.4,0.0,54,19,31,43,27,1017.7,1012.4,19.6,25.6,0
11.7,18.0,0.4,31,9,11,81,66,1020.4,1019.4,14.2,17.8,0
21.0,29.1,0.0,35,24,28,80,69,1016.9,1015.8,23.6,26.8,0
5.2,17.2,0.0,24,15,11,77,29,1031.5,1028.1,7.8,16.9,0
10.4,18.2,0.0,39,11,19,51,59,1011.8,1010.3,14.8,15.2,0
8.8,23.8,0.0,28,9,15,63,43,1022.5,1017.9,15.4,22.6,0
9.2,21.5,0.0,24,9,15,51,72,1019.5,1015.9,20.6,19.9,0
13.5,24.4,0.0,48,26,17,31,29,1012.6,1010.6,17.3,21.7,0
25.0,33.0,0.6,33,9,24,54,45,1006.9,1002.9,30.3,32.0,0
12.9,20.1,0.2,39,28,20,94,65,1020.7,1020.1,13.2,18.8,0
18.3,29.2,1.8,43,26,17,71,60,1019.0,1017.0,22.4,26.8,0
2.7,19.6,0.0,31,0,11,100,37,1018.2,1012.6,7.8,18.8,0
8.6,34.9,0.0,50,20,22,20,13,1013.8,1010.5,25.0,33.1,0
17.4,32.4,0.0,43,15,20,20,9,1014.7,1011.7,22.4,31.5,0
4.1,24.1,0.0,37,7,19,73,34,1012.4,1007.2,12.7,23.8,0
2.5,18.6,0.0,22,4,13,66,37,1027.2,1023.2,9.3,17.9,0
9.9,20.0,0.0,50,2,24,51,36,1012.5,1008.9,15.5,19.1,0
15.1,33.9,0.0,50,24,26,46,23,1021.4,1017.6,22.2,32.7,0
7.8,17.9,0.0,37,20,24,53,44,1024.6,1022.5,14.8,17.0,0
14.9,25.8,0.0,33,13,24,45,52,1021.2,1017.3,21.7,24.7,0
12.5,29.5,0.0,30,17,2,56,27,1014.6,1010.4,21.7,29.3,0
9.9,30.6,0.0,39,17,7,47,15,1020.4,1017.6,17.7,28.8,0
8.0,13.2,0.2,56,30,33,81,68,1018.0,1018.5,10.4,12.2,0
5.7,17.3,0.0,43,22,15,45,25,1029.5,1025.8,10.2,17.1,0
24.5,31.0,0.0,30,13,19,70,60,1013.2,1010.4,27.6,30.6,0
14.5,27.0,0.0,57,22,26,42,33,1019.6,1014.0,20.8,26.0,0
17.6,27.1,0.0,33,17,24,72,64,1019.0,1015.9,24.3,25.9,0
12.5,24.0,0.0,26,7,7,72,54,1017.6,1015.4,18.6,22.2,0
5.0,28.4,0.0,33,11,20,36,15,1017.3,1014.5,16.7,26.8,0
1.9,21.6,0.0,37,22,9,61,24,1021.6,1018.7,12.1,20.8,0
13.0,26.8,0.0,31,7,15,44,17,1018.9,1016.5,19.9,26.4,0
13.3,26.9,0.0,50,24,28,54,35,1020.6,1018.6,17.2,25.0,0
2.2,14.0,0.4,30,11,13,85,37,1022.3,1022.9,5.9,13.4,0
16.5,30.2,0.0,33,11,20,61,52,1011.7,1011.4,24.0,27.2,0
23.1,35.7,0.0,26,6,11,50,39,1003.7,1001.3,27.7,33.5,0
0.2,14.5,0.0,19,2,6,80,33,1027.5,1026.0,5.1,13.8,0
10.9,19.7,0.0,33,22,20,41,44,1014.2,1011.8,16.6,19.1,0
23.2,30.8,1.8,41,15,19,75,61,1009.8,1006.7,26.7,29.1,0
4.8,17.6,0.0,22,7,9,99,57,1023.9,1018.8,8.9,16.0,0
11.5,28.4,0.0,37,20,11,50,26,1020.4,1017.4,19.3,26.7,0
8.8,23.2,0.0,39,24,19,71,40,1016.3,1011.7,13.4,22.1,0
13.3,35.4,0.0,26,15,11,51,13,1023.1,1019.7,18.6,32.8,0
12.3,24.7,0.2,31,13,13,62,45,1015.7,1014.0,16.9,23.0,0
4.3,23.0,0.0,46,7,20,53,20,1022.2,1018.9,13.5,22.1,0
22.2,26.7,0.0,26,15,7,43,37,1014.9,1013.7,23.2,25.6,0
1.6,16.3,0.0,24,4,15,74,43,1020.7,1019.5,6.9,16.2,0
12.5,26.1,0.0,28,6,15,47,31,1020.6,1016.9,21.6,24.8,0
6.5,13.5,2.8,35,17,19,88,74,1023.4,1023.8,8.9,13.3,0
12.1,25.7,0.0,46,15,22,59,28,1015.3,1013.4,16.6,23.7,0
13.4,29.6,2.6,39,24,13,76,48,1013.5,1010.6,19.8,27.5,0
13.9,29.1,0.0,31,9,15,66,27,1022.8,1019.6,17.6,27.5,0
5.0,17.2,0.0,31,19,20,71,38,1032.6,1030.5,10.2,16.6,0
8.9,28.6,0.0,41,4,20,64,24,1017.1,1011.3,16.3,27.7,0
14.6,35.2,0.0,59,28,33,27,18,1014.5,1010.7,24.8,32.5,0
6.2,18.3,0.0,22,6,13,94,53,1031.1,1029.0,10.7,17.5,0
15.1,27.1,15.8,39,17,20,74,31,1007.5,1007.9,17.2,26.1,0
